Emp ID,Name,DOB,SSN,State
1128,Jessica Sheppard,5/24/70,223-55-4987,Rhode Island
1988,Sarah Rodriguez,7/18/86,678-02-8700,Wyoming
573,Steven Parker,9/20/81,808-05-5891,Nebraska
107,Patricia Bennett,6/8/84,155-12-0424,Louisiana
2040,Lisa Mathis,1/27/57,408-88-3247,Wisconsin
1103,Dale Garza,9/1/82,543-54-4719,Michigan
748,Jeffrey Guerra,10/22/83,469-87-9519,Vermont
1516,Anthony Martinez,1/16/58,701-53-0874,Oregon
1143,Jorge Howard,4/18/82,610-87-0640,Kentucky
1374,Jennifer Austin,4/10/84,574-74-4858,Washington
1517,Calvin Sosa,2/28/69,149-30-8986,Pennsylvania
1649,Isaac Franco,8/29/89,174-37-3428,North Dakota
566,Norman Harris,2/10/81,360-94-7233,Minnesota
965,Becky Carroll,8/16/92,345-29-3619,Texas
277,Kellie Montgomery,3/11/70,082-18-8490,Maine
696,Amber Mullen,5/23/87,899-02-5573,New Mexico
1356,Andrew Bennett,10/2/88,597-22-5167,Oklahoma
1443,Jacob Taylor,10/16/88,379-42-1835,California
1423,Gregory Day,6/7/82,850-77-9482,Nevada
160,Danielle Smith,1/31/72,517-91-3726,Arizona
1540,Nathan Sims,6/29/82,018-93-4681,Alaska
1305,Lisa Lawrence,12/19/57,628-84-9699,Tennessee
299,Kristen Morales,5/17/63,127-25-4085,South Dakota
1285,Lee Terry,2/26/65,570-90-3702,Maine
172,Vincent Williams,3/3/74,376-46-3233,Oregon
1837,James Mcfarland,5/29/92,468-19-7711,Texas
231,Arthur Lawrence,6/11/74,861-24-4845,South Carolina
743,Randy Christian,11/1/62,228-11-4642,Montana
290,Ashley Hurley,8/20/70,742-95-6712,South Dakota
1691,Sarah Stewart,2/2/69,445-02-1055,Indiana
1744,Justin Williams,6/9/76,156-03-4152,Washington
615,Frederick Sanchez,7/21/78,469-53-8901,Oregon
1427,Sarah Baldwin,1/10/64,632-15-3313,South Carolina
252,John Larson,3/13/89,565-11-9091,Connecticut
1418,Christina Nielsen,4/18/57,835-95-4490,South Dakota
732,Jesse Jones,2/14/59,049-26-5626,Vermont
1198,Dorothy Beltran,11/16/86,613-56-2110,Louisiana
2116,Tammy Brock,4/24/92,803-52-3729,Minnesota
946,Melissa Mitchell,3/25/75,674-12-6449,Kansas
921,James Ramirez,6/9/83,448-30-6140,Florida
1706,Benjamin Long,12/25/71,566-15-4171,North Dakota
2039,William Shields,6/19/70,825-54-4599,Tennessee
1378,Crystal Brooks,11/27/62,414-99-4904,New York
772,Richard Gilbert,10/11/62,228-95-7467,Missouri
1558,Beth Davis,11/17/90,884-76-2566,Delaware
14,Tyler Brown,7/13/64,874-58-0128,Maine
513,Melissa Duncan,3/20/85,599-40-5735,New Hampshire
1002,Alexandra Berry,4/10/73,331-93-4917,California
863,Ashley Morgan,1/29/57,617-59-5705,Maine
1026,Matthew Beasley,5/30/69,584-25-7294,Delaware
433,Angela Gregory,5/14/80,503-35-1822,Arkansas
1404,Michelle Smith,5/30/91,743-54-5222,Idaho
657,Kristopher Meyer,4/6/79,692-07-4588,Colorado
1875,Patrick Barron,11/25/85,483-31-9394,Alaska
285,Mike Reeves,2/27/63,715-61-8915,Georgia
875,Heidi Bell,7/5/58,831-59-9662,Tennessee
586,Donald Young,5/31/91,401-37-9174,Idaho
1831,Megan Smith,12/23/89,613-80-9069,New Hampshire
1536,Cheryl Barrera,7/29/75,610-47-3870,Oregon
624,Megan Thomas,7/27/67,180-52-4278,Alaska
596,Lisa Stone,1/2/67,481-69-2423,Georgia
500,Reginald Smith,5/4/76,612-98-0992,Virginia
1954,Deborah Ayers,6/5/80,078-92-8040,Georgia
1118,Steven Roberts,4/10/80,638-69-1943,West Virginia
1112,Savannah Smith,1/29/74,136-14-3554,Mississippi
66,Samantha Thompson,4/11/58,780-31-8610,Tennessee
1997,Lindsay Cruz,3/14/70,229-35-9234,Maryland
1482,Edward Hamilton,8/6/72,170-47-7328,Nebraska
996,Michelle Reed,6/11/91,201-93-3749,California
1015,Jeffrey Donaldson,8/22/84,471-41-4075,Iowa
2079,Brittany Chavez,7/13/82,430-40-4926,Wyoming
23,Christopher Greene,7/15/63,409-26-3700,Maine
1555,Robert Rangel,1/30/63,500-10-5076,Montana
728,Emily Armstrong,11/10/61,745-41-5902,New Hampshire
836,Beth Estrada,12/8/57,843-64-4848,New York
1620,Donna Butler,6/12/63,281-55-3521,Idaho
1597,Cynthia Wells,5/26/90,508-65-9753,Idaho
1270,Steve Medina,11/10/92,602-80-2125,Ohio
1254,Sharon Smith,10/31/73,670-73-8540,South Carolina
579,Samuel Velasquez,12/22/73,570-74-7602,Mississippi
1157,Gabrielle Martinez,12/25/74,500-67-5050,North Carolina
621,Michelle Johnson,11/10/90,079-69-3933,New Jersey
1013,Lauren Scott,8/23/88,494-23-7641,Nevada
1251,Brittany Wagner,1/10/88,137-55-0524,New Mexico
2119,Michael Romero,11/8/88,348-46-7219,West Virginia
776,Jason Kelley,6/16/59,771-30-3807,Kansas
1091,Brad Jackson,12/27/85,178-50-9351,Maine
700,Rodney Jimenez,5/1/76,125-55-2089,Iowa
254,Steven Williams,8/3/72,559-48-1509,Hawaii
1821,Rebecca Sanders,5/2/70,618-07-7371,North Dakota
1595,Harold Potts,4/2/60,168-28-7308,Maryland
1733,Lynn Cortez,4/20/75,429-13-4492,Ohio
1213,Stephanie Sanders,10/27/86,150-92-4035,Tennessee
908,Tyler Bridges,7/23/90,528-45-1025,Louisiana
246,Edward Jones,9/5/72,075-88-6467,Illinois
1125,Bruce Smith,1/21/61,729-23-4804,Arizona
870,Sheila Bradshaw,10/7/69,502-75-1234,New Hampshire
57,Ernest Jenkins,11/20/66,084-38-5113,Wisconsin
430,Lisa Williams,1/21/86,181-54-0753,Mississippi
226,Anna Martinez,3/22/77,283-87-1449,Idaho
444,Lisa Diaz,2/21/75,177-05-0151,New York
612,Amy May,1/5/74,648-88-4123,New Jersey
75,Kathryn Gibson,1/20/60,856-81-4605,West Virginia
26,Timothy Kirby,1/26/72,581-32-5417,Oregon
897,John Chavez,2/14/72,150-28-4233,Michigan
1452,Spencer Cole,10/12/93,341-04-3934,Nevada
419,Aaron Klein,3/8/75,744-35-9830,Wisconsin
1552,Maxwell Anderson,9/18/66,708-11-5300,Delaware
1764,Brian Schultz,11/2/69,061-96-7839,Massachusetts
1920,Heather Kramer,4/14/59,081-54-2420,Iowa
1420,Kimberly Brown,9/16/83,872-86-7936,Rhode Island
1836,Justin Davis,4/30/73,336-35-0965,Wyoming
85,Evan Johnson,3/3/67,103-62-8890,Texas
543,Robert Sanford,9/9/75,286-91-9997,North Dakota
1283,Meagan Lopez,6/8/76,696-21-7023,Mississippi
1539,Shawn Lindsey,10/11/82,530-79-9646,Kansas
972,Emily Johnson,10/15/78,618-40-3801,New Hampshire
1544,Lance Chambers,11/6/90,299-79-9888,Kansas
1669,John Young,11/22/56,052-60-8229,Alabama
927,Marcus Rogers,6/8/76,592-26-3011,Kentucky
1456,Claudia King,6/28/75,005-47-9304,New Jersey
979,David Morton,6/24/83,596-83-2468,Rhode Island
2118,Christine Hines,8/18/64,094-34-7354,New Jersey
1084,Kimberly Rice,10/13/74,256-99-5904,South Dakota
750,Joseph Rose,3/19/65,626-42-3290,Rhode Island
758,Christina Lynn,10/9/76,286-18-4326,Montana
987,Kirk Jones,6/29/69,764-17-7998,Wisconsin
799,John Hughes,10/13/60,468-31-3398,North Carolina
